"HolderAddress","Balance","PendingBalanceUpdate"
"0xc4e17179fcbdf236d6b8357bca22a445732e3f91","291,066.60076969145","No"
"0xe459e68f5573f2f341b25ea45da23ae58c967846","489.81630326698","No"
"0x3466acc8d2d7064367b837cf6eefac9659d3ad2a","237.4612790416","No"
"0xa2790cb711ac5b094f54bf1d684dc8a931befdee","161.98726562272","No"
"0x6ec891c3f2246251a533b199ae0186993b8de682","119.83028144257","No"
"0xfd4156f516b0a9f0afdf77625a8fb78b20f6e0e9","94.13518548696","No"
"0xea91b5e687a490380c52d264d5d36558d79f4188","49.45108404133","No"
"0x9c9b873a5149d603836faca0e4c9be761e82f1d0","42.74787389596","No"
"0xce86f05a3568fc973c51c3cf76850df456391f14","36.55096577557","No"
"0x7d62efb965b9ac192ad73ee439bb68b16428757d","25.62885612867","No"
"0x626bb502e81840fdf7182dbd5d08e3638e44ed4e","13.50239334798","No"
"0x1d8b6fa722230153be08c4fa4aa4b4c7cd01a95a","8.59944815456","No"
"0xdc9e1af9869b8771a9cf3b2d17264019c6aad2c6","0.00000000001","No"
